date,product,mentions,sentiment,source
2026-01-21 10:08:42.130535,!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!,1,0.9,amazon
2026-01-22 10:08:42.130535,!!HANEUL!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!Thermoset!!,1,0.6799999999999999,amazon
2026-01-03 10:08:42.867881,109F Solid Women's Tunic,1,,flipkart
2025-10-13 10:08:42.867881,109f Checkered Women's Regular Skirt,1,,flipkart
2025-11-21 10:08:42.130535,"10WeRun Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor",1,0.82,amazon
2025-10-06 10:08:42.130535,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox",1,0.9199999999999999,amazon
2025-10-23 10:08:42.867881,11e Women Flats,1,,flipkart
2025-08-20 10:08:42.867881,1OAK Women's Floral Print Casual Shirt,1,,flipkart
2026-02-03 10:08:42.867881,1OAK Women's Polka Print Casual Shirt,1,,flipkart
2025-12-04 10:08:42.867881,2 Dost Women Wedges,1,,flipkart
2025-09-29 10:08:42.867881,20Dresses Brown Shiver Me Timbers Boots,1,,flipkart
2026-01-20 10:08:42.867881,22nd Street Women's Self Design Casual Shirt,1,,flipkart
2025-08-19 10:08:42.867881,24 Carat Lace Up Shoes,1,,flipkart
2025-09-04 10:08:42.867881,3 Degre Full Sleeve Solid Men's Jacket,1,,flipkart
2026-01-03 10:08:42.867881,3D Mat Floor Car Mat Toyota Innova,1,,flipkart
2026-02-14 10:08:42.130535,"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing",1,0.8800000000000001,amazon
2025-11-16 10:08:42.130535,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",1,0.78,amazon
2025-12-16 10:08:42.867881,3a AUTOCARE Car Mat Chevrolet Beat,1,,flipkart
2025-11-14 10:08:42.867881,3a AUTOCARE Car Mat Honda City,1,,flipkart
2025-10-09 10:08:42.867881,3a AUTOCARE Car Mat Honda Mobilio,1,,flipkart
2025-11-18 10:08:42.867881,3a AUTOCARE Car Mat Hyundai Grand i10,1,,flipkart
2026-02-08 10:08:42.867881,3a AUTOCARE Car Mat Hyundai Grand i10,1,,flipkart
2025-11-13 10:08:42.867881,3a AUTOCARE Car Mat Hyundai Santro,1,,flipkart
2025-10-01 10:08:42.867881,3a AUTOCARE Car Mat Hyundai Verna,1,,flipkart
2026-01-19 10:08:42.867881,3a AUTOCARE Car Mat Hyundai Xcent,1,,flipkart
2026-02-04 10:08:42.867881,3a AUTOCARE Car Mat Hyundai i20,1,,flipkart
2025-11-11 10:08:42.867881,3a AUTOCARE Car Mat Mahindra Scorpio,1,,flipkart
2025-12-21 10:08:42.867881,3a AUTOCARE Car Mat Mahindra XUV 500,1,,flipkart
2025-10-16 10:08:42.867881,3a AUTOCARE Car Mat Maruti Alto K10,1,,flipkart
2025-10-27 10:08:42.867881,3a AUTOCARE Car Mat Maruti Celerio,1,,flipkart
2026-02-07 10:08:42.867881,3a AUTOCARE Car Mat Maruti Ciaz,1,,flipkart
2026-01-25 10:08:42.867881,3a AUTOCARE Car Mat Maruti Ertiga,1,,flipkart
2025-10-20 10:08:42.867881,3a AUTOCARE Car Mat Maruti Swift,1,,flipkart
2025-10-13 10:08:42.867881,3a AUTOCARE Car Mat Maruti Swift Dzire,1,,flipkart
2025-12-27 10:08:42.867881,3a AUTOCARE Car Mat Maruti Swift Dzire,1,,flipkart
2025-08-20 10:08:42.867881,3a AUTOCARE Car Mat Nissan Micra,1,,flipkart
2026-01-08 10:08:42.867881,3a AUTOCARE Car Mat Nissan Terrano,1,,flipkart
2025-08-24 10:08:42.867881,3a AUTOCARE Car Mat Toyota Etios Liva,1,,flipkart
2026-01-19 10:08:42.867881,3a AUTOCARE Car Mat Toyota Innova,1,,flipkart
2025-12-23 10:08:42.867881,3a AUTOCARE Car Mat Volkswagen Polo,1,,flipkart
2025-10-22 10:08:42.867881,3a Autocare 3D MAT Car Mat Suzuki New Swift,1,1.0,flipkart
2025-10-06 10:08:42.867881,3a Autocare Beat Car Mat Chevrolet Beat,1,,flipkart
2025-11-03 10:08:42.867881,3a Autocare City Car Mat Honda City,1,,flipkart
2025-12-12 10:08:42.867881,3a Autocare Etios Car Mat Toyota Etios,1,,flipkart
2026-01-25 10:08:42.867881,3a Autocare Etios Liva Car Mat Toyota Etios Liva,1,,flipkart
2025-10-11 10:08:42.867881,3a Autocare Fortuner Car Mat Toyota Fortuner,1,,flipkart
2025-11-21 10:08:42.867881,3a Autocare Innova Car Mat Toyota Innova,1,,flipkart
2025-11-02 10:08:42.867881,3a Autocare Mobilio Car Mat Honda Mobilio,1,,flipkart
2026-02-02 10:08:42.867881,3a Autocare Polo Car Mat Volkswagen Polo,1,,flipkart
2025-10-31 10:08:42.867881,3a Autocare Ritz Car Mat Maruti Ritz,1,,flipkart
2025-08-22 10:08:42.867881,3a Autocare Rubber Mat Car Mat Suzuki New Swift,1,0.8,flipkart
2025-09-17 10:08:42.867881,3a Autocare Santro Car Mat Hyundai Santro,1,,flipkart
2025-12-08 10:08:42.867881,3a Autocare Scorpio Car Mat Mahindra Scorpio,1,,flipkart
2025-12-31 10:08:42.867881,3a Autocare Terrano Car Mat Nissan Terrano,1,,flipkart
2025-10-26 10:08:42.867881,3a Autocare Verna Car Mat Hyundai Verna,1,,flipkart
2026-01-29 10:08:42.867881,3a Autocare WagonR Car Mat Maruti WagonR,1,,flipkart
2025-11-04 10:08:42.867881,3a Autocare XUV 500 Car Mat Mahindra XUV 500,1,,flipkart
2025-12-10 10:08:42.867881,3a Autocare xcent Car Mat Hyundai Xcent,1,,flipkart
2025-10-31 10:08:42.867881,3kFactory Baby Shower Cap- Purple,1,,flipkart
